STT	Tệp chuẩn hóa	Tên tài liệu	Nhóm hồ sơ	Số/ký hiệu	Ngày
01	01_To_trinh_UBND_tinh_trinh_du_thao_Nghi_quyet.pdf	Tờ trình UBND tỉnh trình dự thảo Nghị quyết	Hồ sơ trình	617/TTr-UBND	09/06/2026
02	02_Du_thao_Nghi_quyet_trinh_thong_qua_HDND_tinh.docx	Dự thảo Nghị quyết trình thông qua HĐND tỉnh	Hồ sơ trình	Dự thảo	2026
03	03_BC_tong_ket_cong_tac_dao_tao_chinh_sach_2021_2025.pdf	Báo cáo tổng kết công tác đào tạo và các chính sách giai đoạn 2021-2025	Cơ sở chính sách	BC-SNV	2026
04	04_Bang_so_sanh_thuyet_minh_chinh_sach.pdf	Bảng so sánh thuyết minh chính sách	Cơ sở chính sách	Bảng so sánh	09/06/2026
05	05_BC_tong_hop_y_kien_gop_y_lan_1.pdf	Báo cáo tổng hợp ý kiến góp ý lần 1	Lấy ý kiến	BC-SNV	10/02/2026
06	06_BC_tong_hop_y_kien_gop_y_lan_2.pdf	Báo cáo tổng hợp ý kiến góp ý lần 2	Lấy ý kiến	BC-SNV	24/03/2026
07	07_4_2_BC_tong_hop_y_kien_gop_y_lan_2.pdf	Báo cáo tổng hợp ý kiến góp ý lần 2 - bản 4.2	Lấy ý kiến	BC-SNV	24/03/2026
08	08_05_BB_Hop_thong_nhat_noi_dung.pdf	Biên bản họp thống nhất một số nội dung liên quan dự thảo	Lấy ý kiến	05/BB-SNV	08/05/2026
09	09_BC_danh_gia_tac_dong_chinh_sach_dao_tao_nhan_luc.pdf	Báo cáo đánh giá tác động chính sách đào tạo nhân lực	Cơ sở chính sách	BC-SNV	2026
10	10_BC_tong_hop_gop_y_lan_3_chinh_sua.pdf	Báo cáo tổng hợp góp ý lần 3 - chỉnh sửa	Lấy ý kiến	287/BC-SNV	08/04/2026
11	11_Bao_cao_Tham_dinh_Nghi_quyet.pdf	Báo cáo thẩm định dự thảo Nghị quyết của Sở Tư pháp	Thẩm định	301/BC-STP	28/04/2026
12	12_BC_tiep_thu_giai_trinh_tham_dinh_So_Tu_phap.pdf	Báo cáo tiếp thu, giải trình Báo cáo thẩm định của Sở Tư pháp	Thẩm định	BC-SNV	2026
13	13_Bao_cao_tham_tra_Nghi_quyet_HĐND.pdf	Báo cáo thẩm tra dự thảo Nghị quyết của Ban Pháp chế HĐND tỉnh	HĐND tỉnh	251/BC-HĐND	08/07/2026
14	14_BC_tong_hop_y_kien_Thanh_vien_UBND_tinh.pdf	Báo cáo tổng hợp ý kiến Thành viên UBND tỉnh đối với dự thảo Nghị quyết	UBND tỉnh	BC-VPUBND	2026
15	15_BC_giai_trinh_y_kien_Thanh_vien_UBND_tinh.pdf	Báo cáo giải trình ý kiến của Thành viên UBND tỉnh	UBND tỉnh	BC-SNV	2026
16	16_TTr_trinh_ky_thong_qua_lai_du_thao_NQ.pdf	Tờ trình ký thông qua lại dự thảo Nghị quyết	UBND tỉnh	TTr-SNV	2026
17	17_Thong_bao_ket_qua_dang_tai_du_thao_Nghi_quyet.pdf	Thông báo kết quả đăng tải dự thảo Nghị quyết	Công khai	Thông báo	2026
18	18_811_BC_UBND_tiep_thu_giai_trinh_tham_tra.pdf	Báo cáo 811/BC-UBND tiếp thu, giải trình ý kiến thẩm tra	HĐND tỉnh	811/BC-UBND	2026
